Timestamp (IT),Type,Network,Message Type,Connected Profile,Brand Keyword,Received From (Network Name),Sent By (Sprout User),Native Permalink,Permalink,Message,Tags,Tags Applied By,First Tag Timestamp,Reply Status,Replied By,First Reply Timestamp,Completed Status,Completed By,Completed Timestamp,Liked Status,Liked By,Liked Timestamp,Hidden Status,Hidden By,Hidden Timestamp,Message ID,GUID (Internal Identifier),Parent Post ID,Ad ID,Ad Campaign ID,Ad Account ID,In Response To: Timestamp,In Response To: Message ID,In Response To: Message,Task Status,Task Assignee
2023-05-20 19:21:09,Incoming,Twitter,Tweet,,HP printer,benwokes014,,https://twitter.com/benwokes014/status/1659919692822200321,https://app.sproutsocial.com/profile/twitter/1260273690064744449/reply/7733343/t:1659919692822200321/?gid=2089983&pollinator_source=export,https://t.co/kLoQjqVxAu HP Printer Error Codes List and Solutions #shorts #printer #Computer #Printer #Drivers #Software,,,,No,,,No,,,No,,,No,,,1659919692822200321,t:1659919692822200321,,,,,,,,Not tasked,
2023-05-20 19:19:38,Incoming,Twitter,Tweet,,HP printer,benwokes014,,https://twitter.com/benwokes014/status/1659919313145307140,https://app.sproutsocial.com/profile/twitter/1260273690064744449/reply/7733343/t:1659919313145307140/?gid=2089983&pollinator_source=export,https://t.co/KWlyYqJv0N HP Envy 6430e Color Ink Jet Printer Setup & Wireless Print - 123 HP #Computer #Printer #Drivers #Software,,,,No,,,No,,,No,,,No,,,1659919313145307140,t:1659919313145307140,,,,,,,,Not tasked,
2023-05-20 19:19:21,Incoming,Twitter,Tweet,,HP printer,ondrickamtntb,,https://twitter.com/ondrickamtntb/status/1659919239128444929,https://app.sproutsocial.com/profile/twitter/1579898844250243072/reply/7733343/t:1659919239128444929/?gid=2089983&pollinator_source=export,"1 color For HP 771 DesignJet Printhead CE017A CE018A CE019A CE020A Print Head For HP Designjet Z6200 Z6600 Z6800 Printer Head ERMNCEP

https://t.co/X0DsFsXi4P https://t.co/rCzTuXseWI",,,,No,,,No,,,No,,,No,,,1659919239128444929,t:1659919239128444929,,,,,,,,Not tasked,
2023-05-20 19:18:07,Incoming,Twitter,Tweet,,HP printer,benwokes014,,https://twitter.com/benwokes014/status/1659918931014955009,https://app.sproutsocial.com/profile/twitter/1260273690064744449/reply/7733343/t:1659918931014955009/?gid=2089983&pollinator_source=export,https://t.co/60vWsBFQqF How to Download & Install HP Printer Drivers on Windows 10 & 11? | #Driver #Computer #Printer #Drivers #Software,,,,No,,,No,,,No,,,No,,,1659918931014955009,t:1659918931014955009,,,,,,,,Not tasked,
2023-05-20 19:16:29,Incoming,Twitter,Tweet,,HP printer,hillary9a,,https://twitter.com/hillary9a/status/1659918519285194755,https://app.sproutsocial.com/profile/twitter/1585704014615674880/reply/7733343/t:1659918519285194755/?gid=2089983&pollinator_source=export,"For HP 727 Cartridge Chip New Upgrade HP727 Chip For HP DesignJet T920 T930 T1500 T1530 T2500 T2530 Printer (PBK C M Y GY MBK) VFZWWVS

https://t.co/AM0cpa77jX https://t.co/fhMn38xjL6",,,,No,,,No,,,No,,,No,,,1659918519285194755,t:1659918519285194755,,,,,,,,Not tasked,
2023-05-20 19:15:01,Incoming,Twitter,Tweet,,HP printer,MstamlEstates,,https://twitter.com/MstamlEstates/status/1659918148974309378,https://app.sproutsocial.com/profile/twitter/342650452/reply/7733343/t:1659918148974309378/?gid=2089983&pollinator_source=export,"printer HP  قطعة 11 - شارع 191  ماركة  في السالمية بسعر 50 دينار كويتي
للتواصل مع المعلن 👇 :
 https://t.co/ZwLxy2jYXi
#مستعمل_الكويت #طابعة #HP https://t.co/p4VZEzTRQO",,,,No,,,No,,,No,,,No,,,1659918148974309378,t:1659918148974309378,,,,,,,,Not tasked,
2023-05-20 19:11:32,Incoming,Twitter,Tweet,,HP printer,JudgePfannerst1,,https://twitter.com/JudgePfannerst1/status/1659917272872284160,https://app.sproutsocial.com/profile/twitter/1580200569880416258/reply/7733343/t:1659917272872284160/?gid=2089983&pollinator_source=export,"befon 650XL Ink Cartridge Replacement for HP 650 HP650 XL Compatible for hp Deskjet 1015 1515 2515 2545 2645 3515 4645 Printer OMSA2AL

https://t.co/knkWJ1upbY https://t.co/qbcYiutzgB",,,,No,,,No,,,No,,,No,,,1659917272872284160,t:1659917272872284160,,,,,,,,Not tasked,
2023-05-20 18:57:28,Incoming,Twitter,Tweet,,HP printer,Easter12V,,https://twitter.com/Easter12V/status/1659913735635365889,https://app.sproutsocial.com/profile/twitter/1575132279155793920/reply/7733343/t:1659913735635365889/?gid=2089983&pollinator_source=export,"befon 902XL Compatible Ink Cartridge Replacement for HP902 HP 902 XL for OfficeJet Pro 6954 6960 6962  6968  6975 Printer JT8G3E7

https://t.co/7YSunT1pr6 https://t.co/1tC7xBZiSJ",,,,No,,,No,,,No,,,No,,,1659913735635365889,t:1659913735635365889,,,,,,,,Not tasked,
2023-05-20 18:57:15,Incoming,Twitter,Tweet,,HP printer,hillleiv,,https://twitter.com/hillleiv/status/1659913679431692288,https://app.sproutsocial.com/profile/twitter/1581484015600783360/reply/7733343/t:1659913679431692288/?gid=2089983&pollinator_source=export,"HUHIKAB 122XL Ink Cartridge Replacement For HP 122 Deskjet 3050a 3051a 3052a 3054a 3055a 3056a 3057a 3059a 3510 3511 Printer 7VZPJRS

https://t.co/yNDHQ2KMtP https://t.co/zKR94gVMnA",,,,No,,,No,,,No,,,No,,,1659913679431692288,t:1659913679431692288,,,,,,,,Not tasked,
2023-05-20 18:56:36,Incoming,Twitter,Tweet,,HP printer,hackettkgth,,https://twitter.com/hackettkgth/status/1659913517531643907,https://app.sproutsocial.com/profile/twitter/1581923883741024256/reply/7733343/t:1659913517531643907/?gid=2089983&pollinator_source=export,"Icehtank Printer Ink For Hp For Epson For Canon For Brother Lexmark for Hp 304 301 302 Ink cartridge  Universal CISS Refill Ink ICKL2XJ

https://t.co/8uU8kWq9OE https://t.co/h4ztz1GvEq",,,,No,,,No,,,No,,,No,,,1659913517531643907,t:1659913517531643907,,,,,,,,Not tasked,
2023-05-20 18:44:25,Incoming,Twitter,Tweet,,HP printer,gennaro97ox,,https://twitter.com/gennaro97ox/status/1659910451407323137,https://app.sproutsocial.com/profile/twitter/1581586397445718017/reply/7733343/t:1659910451407323137/?gid=2089983&pollinator_source=export,"CMYK SUPPLIES  Compatible HP 655 XL Ink Cartridge for HP655 Deskjet 5525 6520 6525 6625 3525 4615 4625 Printer with chip FBXZFSZ

https://t.co/vqRtaXgLwG https://t.co/qdGjBG5k31",,,,No,,,No,,,No,,,No,,,1659910451407323137,t:1659910451407323137,,,,,,,,Not tasked,
2023-05-20 18:23:53,Incoming,Twitter,Tweet,,HP printer,ShoppingAlertUK,,https://twitter.com/ShoppingAlertUK/status/1659905280208171009,https://app.sproutsocial.com/profile/twitter/1463025780041072641/reply/7733343/t:1659905280208171009/?gid=2089983&pollinator_source=export,"HP Laser Printer,White,Hewlett Packard D9L20A #Amazon🇬🇧
https://t.co/BLMaVRde9H",,,,No,,,No,,,No,,,No,,,1659905280208171009,t:1659905280208171009,,,,,,,,Not tasked,
2023-05-20 18:19:48,Incoming,Twitter,Tweet,,HP printer,dietrich15dmm,,https://twitter.com/dietrich15dmm/status/1659904252901314560,https://app.sproutsocial.com/profile/twitter/1581673748092051459/reply/7733343/t:1659904252901314560/?gid=2089983&pollinator_source=export,"USB Print Cable Type A To B Printer Cable For Canon Epson HP Label Printer USB Scanner Cord High Speed Fax Machine Printing Wire WBBWWSD

https://t.co/bapkeCrXD4 https://t.co/DGWy7Qqoa3",,,,No,,,No,,,No,,,No,,,1659904252901314560,t:1659904252901314560,,,,,,,,Not tasked,
2023-05-20 18:13:29,Incoming,Twitter,Tweet,,HP printer,Swapnil1Mane,,https://twitter.com/Swapnil1Mane/status/1659902666900930562,https://app.sproutsocial.com/profile/twitter/328543597/reply/7733343/t:1659902666900930562/?gid=2089983&pollinator_source=export,"@Disciplined_Inv Once I had ordered a hp printer cartridge and received a duplicate one, I have stopped buying from flipkart since then.",,,,No,,,No,,,No,,,No,,,1659902666900930562,t:1659902666900930562,,,,,,,,Not tasked,
